Titulo,Precio,Condicion,Envio,URL
Laptop Portatil Lenovo Core I7 12va Gnr 16gb Ssd 1000gb   Pc,No disponible,No disponible,No disponible,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=vUqeGcYgmnHQd1TsdGH0Zf%2F%2BaL5Q1m6AW%2FdjSS745an90DXPFzGZmVCsoUakD0jJo%2FJWyFnljWMleY8esQtvKGEgi1AgJa5UmEAJmfQN5jY%2BT0PdeJZdYIRWcbSyQhyCRIG6Cesj%2F9%2BedRbDuqahfRPj7kJBMsYyedFzuEGkGtdp1Di6U%2FhBkZxr7DlhJGJDK8JEE4NBX3hZFD2AXXt0uddPh54hRg9IzFpbf%2F6vLp1B1qPgrsl1tnoZYCL1guE0Qx8nM%2BmfiqwpNjmV%2FA6nsIaSdSn08lOnTjZEyihVI%2BHiGag4X%2FU%2BfdKkoFPRFH5VZPe14DGvW9fO0MV4CU%2B7AmJZPkXSNcxo6oeuYvIBA47TjTn3wFs2QuFMNjK%2FAg13LdgQYAy%2F%2BwIFGwjix7alqC611AgDT5ujL5WyKgvueyVpxOGyL2rRUzSGGmSrIb4CMdQQorie%2BRnxHVWWejEf7RAeFdwN%2BukEcD0L9cgUrAEJ5wlWK%2FmOMFncYueTSpAYdc8%2Fr%2BqSOXoI8pP4%2F%2BkMrx68dSg55ftLSb7%2BhfXlqp7I4I4tTFWi5ZkOuYXB36YqUglwl4nwC35k5YS34SKfvHL%2BMc92Ke1odozx5EEW8LwGM6DA6kv9vV8iwan1K%2BzuO4tJoDPAnXJszaOaPA%2FvIPkRwk4mgODV85TmHDkDD%2B5R%2B9VsswyUNFLDOX88cApf4vXYZnXx9281TG4Uzz%2Fl9XiqSlaNQ7eXBj5zjy7BFJtSrxvda%2F%2Bj1YbJKlhMpADV3p%2Fkm4okYDLpOKN9cpq3tYj1FQYECXtRGUuFT9IwKMNrUKC371uZByVSmJmBptZsSkfrlHMjTgbBDIILTTWBuCNh%2Bq4Zd0mw6V1TC6IPvg%3D%3D&rb=x#polycard_client=search-nordic&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Laptop Portatil Lenovo Core I7 12va Gnr 16gb Ssd 1000gb   Pc,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-524277545-laptop-portatil-lenovo-core-i7-12va-gnr-16gb-ssd-1000gb-pc-_JM?searchVariation=175995187917#polycard_client=search-nordic&searchVariation=175995187917&position=5&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Laptop Hp 240 G8 Intel I3-1115g4 8gb 256gb M.2 Ssd 14 Led Color Negro,No disponible,No disponible,No disponible,https://www.mercadolibre.com.ec/laptop-hp-240-g8-intel-i3-1115g4-8gb-256gb-m2-ssd-14-led-color-negro/p/MEC25198986#polycard_client=search-nordic&searchVariation=MEC25198986&position=4&search_layout=grid&type=product&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309&wid=MEC567661788&sid=search
"Laptop VivoBook M415DA 14"" color transparent silver 4GB de Ram - 1TB HDD - AMD Ryzen 5",No disponible,No disponible,No disponible,https://www.mercadolibre.com.ec/laptop-vivobook-m415da-14-color-transparent-silver-4gb-de-ram-1tb-hdd-amd-ryzen-5/p/MEC18373425#polycard_client=search-nordic&searchVariation=MEC18373425&position=5&search_layout=grid&type=product&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309&wid=MEC526527200&sid=search
Portátil Hp Core I5 Onceava Gnr Ram 16gb  Ssd 1 Tb Laptop Pc,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-513152808-portatil-hp-core-i5-onceava-gnr-ram-16gb-ssd-1-tb-laptop-pc-_JM?searchVariation=174503831092#polycard_client=search-nordic&searchVariation=174503831092&position=6&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Panasonic Toughbook Cf-31 - Pc Portátil Resistente,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-517917513-panasonic-toughbook-cf-31-pc-portatil-resistente-_JM?searchVariation=175053267717#polycard_client=search-nordic&searchVariation=175053267717&position=7&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Laptop Portatil Computadora Lenovo  Ideapad 81vu,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-583171868-laptop-portatil-computadora-lenovo-ideapad-81vu-_JM?searchVariation=181474271128#polycard_client=search-nordic&searchVariation=181474271128&position=8&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Computador Portatil Asus E410ma-ek945ts Intel Celeron N4020/,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-528717476-computador-portatil-asus-e410ma-ek945ts-intel-celeron-n4020-_JM?searchVariation=176762436075#polycard_client=search-nordic&searchVariation=176762436075&position=9&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Computadora Portatil Hp Probook 450 G7 Core I5-1021ou 8gb 1t,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-528834366-computadora-portatil-hp-probook-450-g7-core-i5-1021ou-8gb-1t-_JM?searchVariation=176778656544#polycard_client=search-nordic&searchVariation=176778656544&position=10&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Computador Portatil Asus X415ma-bv041t Intel Celeron N4020/4,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-528788717-computador-portatil-asus-x415ma-bv041t-intel-celeron-n40204-_JM?searchVariation=176762417002#polycard_client=search-nordic&searchVariation=176762417002&position=11&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Computador Portatil Asus Um425ua-ki198t Ryzen 5-5500u /8gb R,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-528814657-computador-portatil-asus-um425ua-ki198t-ryzen-5-5500u-8gb-r-_JM?searchVariation=176762391133#polycard_client=search-nordic&searchVariation=176762391133&position=12&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Computadora Portátil Lenovo Ideapad 3 12 De Ram Y 1250 Gb,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-580056044-computadora-portatil-lenovo-ideapad-3-12-de-ram-y-1250-gb-_JM?searchVariation=181184404600#polycard_client=search-nordic&searchVariation=181184404600&position=13&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Computador Portatil 15-da2029la Intel Core I7-1051u/8g,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-528717482-computador-portatil-15-da2029la-intel-core-i7-1051u8g-_JM?searchVariation=176762436128#polycard_client=search-nordic&searchVariation=176762436128&position=14&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
"Computadora Portátil, Core I7, 32gb Ram, 512gb Ssd, Nv",No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-563319436-computadora-portatil-core-i7-32gb-ram-512gb-ssd-nv-_JM?searchVariation=179513129812#polycard_client=search-nordic&searchVariation=179513129812&position=15&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Computador Portatil Hp Ryzen 5 15-ef2357nr,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-583249904-computador-portatil-hp-ryzen-5-15-ef2357nr-_JM?searchVariation=181474369460#polycard_client=search-nordic&searchVariation=181474369460&position=16&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
"Computador Portatil Hp 245 G7 Amd Athlon 3020e, 8gb Ram,1tb",No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-518044115-computador-portatil-hp-245-g7-amd-athlon-3020e-8gb-ram1tb-_JM?searchVariation=175061610496#polycard_client=search-nordic&searchVariation=175061610496&position=17&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Asus Zenbook Ordenador Portátil 13  Oled Fullhd (intel Core5,No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-524206381-asus-zenbook-ordenador-portatil-13-oled-fullhd-intel-core5-_JM?searchVariation=175998996747#polycard_client=search-nordic&searchVariation=175998996747&position=18&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
Asus Vivobook X1502z Core I7-1250p 256gb 12gb 15.6fhd Win11 Color Gris Silver,No disponible,No disponible,No disponible,https://www.mercadolibre.com.ec/asus-vivobook-x1502z-core-i7-1250p-256gb-12gb-156fhd-win11-color-gris-silver/p/MEC24435495#polycard_client=search-nordic&searchVariation=MEC24435495&position=34&search_layout=grid&type=product&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309&wid=&sid=search
Computadora Portátil Lenovo Winbook Touch 4 Gb / 64gb Win 10 (Usado),No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-568244030-computadora-portatil-lenovo-winbook-touch-4-gb-64gb-win-10-_JM?searchVariation=180045536380#polycard_client=search-nordic&searchVariation=180045536380&position=19&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
"Laptops, Computadora Portátil, Bodega, Core I3,core I5 E I7 (Usado)",No disponible,No disponible,No disponible,https://articulo.mercadolibre.com.ec/MEC-519708002-laptops-computadora-portatil-bodega-core-i3core-i5-e-i7-_JM?searchVariation=175291832395#polycard_client=search-nordic&searchVariation=175291832395&position=20&search_layout=grid&type=item&tracking_id=73d537de-e26e-4b91-a827-30d6eef70309
